CORDIC_FWL,BACKSUB_FWL,RMSE_Indiv_Fail,RMSE_Total_Val,RMSE_Total_FailFlag
12,12,4,0.00576381209173026,1
12,13,4,0.00573139449567135,1
12,14,4,0.00576216539021982,1
12,15,4,0.00573819395424392,1
12,16,4,0.00574334145696317,1
12,17,4,0.00574092771852475,1
12,18,4,0.00574204638698105,1
12,19,4,0.00574179353794275,1
12,20,4,0.00574175393933244,1
13,12,3,0.00282439748089105,1
13,13,3,0.0024935469680462,1
13,14,3,0.00247979593172638,1
13,15,3,0.00246807125609353,1
13,16,3,0.00247132155732377,1
13,17,3,0.00247059395106265,1
13,18,3,0.00246998721619271,1
13,19,3,0.00246992550374548,1
13,20,3,0.00246970599961471,1
14,12,2,0.00130862846789426,1
14,13,2,0.00132531696373755,1
14,14,2,0.00125546515821588,1
14,15,2,0.00126226232097939,1
14,16,2,0.00126469333267272,1
14,17,2,0.00126261711940817,1
14,18,2,0.00126080999544011,1
14,19,2,0.00126162598317832,1
14,20,2,0.00126174159427655,1
15,12,1,0.00070239412357403,0
15,13,1,0.000754115481555923,0
15,14,1,0.000675322113071413,0
15,15,1,0.000635648196598118,0
15,16,1,0.000633784621408046,0
15,17,1,0.000636235614849014,0
15,18,1,0.00063620601432821,0
15,19,1,0.00063646692965812,0
15,20,1,0.000635948185896695,0
16,12,0,0.000228502013044742,0
16,13,0,0.00021784660900976,0
16,14,0,0.000228878877750503,0
16,15,0,0.000202596506271215,0
16,16,0,0.000190390171451199,0
16,17,0,0.000194735532173109,0
16,18,0,0.000193334967332052,0
16,19,0,0.000193030024953337,0
16,20,0,0.000192780775676151,0
17,12,0,0.00016862570937896,0
17,13,0,0.000217370136572096,0
17,14,0,0.000177061767364738,0
17,15,0,0.000160022819673479,0
17,16,0,0.000156840936845187,0
17,17,0,0.000150678207045835,0
17,18,0,0.000150101779186416,0
17,19,0,0.000150020304352504,0
17,20,0,0.000149389439134955,0
18,12,0,0.000181032295002588,0
18,13,0,0.000251675891304266,0
18,14,0,0.000111915520437216,0
18,15,0,9.00549339163339e-05,0
18,16,0,7.65133316416645e-05,0
18,17,0,8.68455049772387e-05,0
18,18,0,7.94884593751768e-05,0
18,19,0,7.98648450816952e-05,0
18,20,0,7.97957624383426e-05,0
19,12,0,0.000160613926639671,0
19,13,0,0.000181156650672166,0
19,14,0,4.99342412233009e-05,0
19,15,0,4.62524889254522e-05,0
19,16,0,3.24435080128501e-05,0
19,17,0,2.68185540443469e-05,0
19,18,0,2.55036119837323e-05,0
19,19,0,2.2857555465061e-05,0
19,20,0,2.26458822477713e-05,0
20,12,0,0.000156918995982143,0
20,13,0,0.000161232974808272,0
20,14,0,5.58284624056393e-05,0
20,15,0,3.75425652405718e-05,0
20,16,0,1.82984357253099e-05,0
20,17,0,1.52488726346657e-05,0
20,18,0,1.8854990223123e-05,0
20,19,0,1.53442120206972e-05,0
20,20,0,1.52855645190458e-05,0
