CORDIC_FWL,BACKSUB_FWL,RMSE_Indiv_Fail,RMSE_Total_Val,RMSE_Total_FailFlag
12,12,78,0.00350583771191173,1
12,13,79,0.00351342393802474,1
12,14,79,0.00351353379722046,1
12,15,79,0.00351306261164351,1
12,16,79,0.00351331152974635,1
12,17,79,0.00351405564046508,1
12,18,79,0.00351367763868931,1
12,19,79,0.00351340208454847,1
12,20,79,0.00351347013030017,1
13,12,51,0.00181542320170185,1
13,13,46,0.00179220803561415,1
13,14,48,0.00179475869648689,1
13,15,48,0.00179379744408475,1
13,16,48,0.00179133148434345,1
13,17,48,0.0017916288600592,1
13,18,48,0.00179096577196604,1
13,19,48,0.00179145326591189,1
13,20,48,0.00179140391566885,1
14,12,26,0.000971676894501811,0
14,13,26,0.000936756046559519,0
14,14,25,0.000894901774080703,0
14,15,24,0.000900657503165475,0
14,16,24,0.000900515851476836,0
14,17,25,0.000901896730942179,0
14,18,25,0.000901671545689828,0
14,19,25,0.000901328191127299,0
14,20,25,0.000901471468475723,0
15,12,13,0.000497864800516794,0
15,13,7,0.000420416752200136,0
15,14,6,0.000358758975356987,0
15,15,4,0.000354903589374914,0
15,16,4,0.00035363343516009,0
15,17,4,0.000353292341597106,0
15,18,4,0.000353797003888399,0
15,19,4,0.000353283849277369,0
15,20,4,0.000353393116216268,0
16,12,6,0.000326394852624313,0
16,13,3,0.00026341029973307,0
16,14,1,0.000210541404961303,0
16,15,1,0.00020183962632414,0
16,16,2,0.000194891845957664,0
16,17,2,0.000194202199410498,0
16,18,2,0.00019401303558609,0
16,19,2,0.000194034050208895,0
16,20,2,0.000194137709356159,0
17,12,4,0.000261722983376522,0
17,13,1,0.000188384849950572,0
17,14,0,0.000105478239918914,0
17,15,0,8.99559897412209e-05,0
17,16,0,8.75321816013369e-05,0
17,17,0,8.69207054640948e-05,0
17,18,0,8.64024833116796e-05,0
17,19,0,8.65303978900157e-05,0
17,20,0,8.63431467537555e-05,0
18,12,4,0.000269847876773999,0
18,13,0,0.000148883455909393,0
18,14,0,8.52725782557154e-05,0
18,15,0,5.95361589209809e-05,0
18,16,0,5.1072721937126e-05,0
18,17,0,5.26366899231758e-05,0
18,18,0,4.97295423857208e-05,0
18,19,0,4.98754129043359e-05,0
18,20,0,4.98376419698095e-05,0
19,12,5,0.000275001440633824,0
19,13,1,0.000164811598137084,0
19,14,0,8.14541874046354e-05,0
19,15,0,4.53271883057895e-05,0
19,16,0,3.26757265028479e-05,0
19,17,0,2.6899119947485e-05,0
19,18,0,2.53212498158458e-05,0
19,19,0,2.48770384911973e-05,0
19,20,0,2.49260077305078e-05,0
20,12,3,0.000267452857125642,0
20,13,2,0.000163854931897237,0
20,14,0,7.72396359037412e-05,0
20,15,0,4.47512793090798e-05,0
20,16,0,2.80467839095202e-05,0
20,17,0,2.06850998722794e-05,0
20,18,0,1.88664831917542e-05,0
20,19,0,1.98286100367649e-05,0
20,20,0,1.8994159288326e-05,0
