CORDIC_FWL,BACKSUB_FWL,RMSE_Indiv_Fail,RMSE_Total_Val,RMSE_Total_FailFlag
12,12,2,0.00482796752411732,1
12,13,2,0.0048568411201913,1
12,14,2,0.00487422112372356,1
12,15,2,0.00488467936217779,1
12,16,2,0.00487305661628941,1
12,17,2,0.00488416972843887,1
12,18,2,0.00488117816699826,1
13,12,2,0.00157184261925449,1
13,13,2,0.00141873577635317,1
13,14,2,0.00143062048440605,1
13,15,2,0.00143441704673848,1
13,16,2,0.00143213028157589,1
13,17,2,0.001432993311756,1
13,18,2,0.00143376604027533,1
14,12,1,0.000714593594046397,0
14,13,1,0.000595237029337721,0
14,14,1,0.000630811903392941,0
14,15,1,0.000616286263344021,0
14,16,1,0.000624941428553043,0
14,17,1,0.000624772736175523,0
14,18,1,0.000623426328502431,0
15,12,0,0.000368597814919305,0
15,13,0,0.000380227847804342,0
15,14,0,0.000289729992696691,0
15,15,0,0.000289357331910005,0
15,16,0,0.000290047717349698,0
15,17,0,0.00028685298540022,0
15,18,0,0.000290654418131853,0
16,12,0,0.000293703416554646,0
16,13,0,0.000149521077589468,0
16,14,0,0.000138729371525071,0
16,15,0,0.000124104095540935,0
16,16,0,0.000126116247617821,0
16,17,0,0.000130502616736597,0
16,18,0,0.000129028515743871,0
17,12,0,0.000146984684813691,0
17,13,0,0.0001796624139566,0
17,14,0,7.83252035203448e-05,0
17,15,0,8.88695224975122e-05,0
17,16,0,7.74242996435636e-05,0
17,17,0,8.00515296201257e-05,0
17,18,0,7.92165665168778e-05,0
18,12,0,0.000145557793235936,0
18,13,0,0.00011614549990223,0
18,14,0,7.41712862566127e-05,0
18,15,0,4.69339221638692e-05,0
18,16,0,3.72282310230987e-05,0
18,17,0,4.42777710820565e-05,0
18,18,0,4.15800717435453e-05,0
