CORDIC_FWL,BACKSUB_FWL,RMSE_Indiv_Fail,RMSE_Total_Val,RMSE_Total_FailFlag
12,12,72,0.00267053611306602,1
12,13,76,0.0026800117913676,1
12,14,72,0.00267635944477665,1
12,15,72,0.002676974932685,1
12,16,72,0.00267560590729852,1
12,17,72,0.00267420636875326,1
12,18,72,0.00267464383729252,1
13,12,55,0.00196797488670876,1
13,13,52,0.0019041403670017,1
13,14,50,0.00187351879184164,1
13,15,51,0.00188824646320559,1
13,16,53,0.00188762807082908,1
13,17,53,0.00188564101610045,1
13,18,53,0.00188576701384567,1
14,12,42,0.00160978116763165,1
14,13,41,0.00167158154402781,1
14,14,43,0.00160301933289699,1
14,15,43,0.00160022419603669,1
14,16,43,0.00159763312122151,1
14,17,43,0.00159871363325643,1
14,18,43,0.00159832552599233,1
15,12,37,0.00135820696508769,1
15,13,37,0.0014052356724769,1
15,14,35,0.00134156549380566,1
15,15,35,0.00135020051591905,1
15,16,36,0.00135005516252476,1
15,17,36,0.00135090010280506,1
15,18,35,0.00135022202133313,1
16,12,37,0.00141359833369493,1
16,13,40,0.00134488526643037,1
16,14,38,0.00130745657080884,1
16,15,39,0.00130548608367135,1
16,16,38,0.00130489013420536,1
16,17,37,0.00130266280294984,1
16,18,36,0.00130393847138865,1
17,12,41,0.00155768022164415,1
17,13,37,0.00145327886463235,1
17,14,37,0.0014040738031944,1
17,15,36,0.00142722166456376,1
17,16,36,0.00142077613289255,1
17,17,35,0.00142071878352255,1
17,18,35,0.00142048350586663,1
18,12,42,0.00151626770263553,1
18,13,39,0.00141828532587606,1
18,14,39,0.00136720310615888,1
18,15,38,0.00137699232439702,1
18,16,38,0.00138101606896016,1
18,17,38,0.00137780595906315,1
18,18,37,0.00137864460599789,1
