CORDIC_FWL,BACKSUB_FWL,RMSE_Indiv_Fail,RMSE_Total_Val,RMSE_Total_FailFlag
12,12,4,0.00572577624605169,1
12,13,4,0.00567849180570366,1
12,14,4,0.00570852164170153,1
12,15,4,0.00570464488854215,1
12,16,4,0.00570467574618204,1
12,17,4,0.00570713496495466,1
12,18,4,0.00570582327737461,1
12,19,4,0.0057057136338987,1
12,20,4,0.00570549996080336,1
13,12,3,0.00280188566898372,1
13,13,3,0.00243580199303972,1
13,14,3,0.00246173535326755,1
13,15,3,0.00244694326843976,1
13,16,3,0.0024518922221159,1
13,17,3,0.00245151358360334,1
13,18,3,0.00245252007088839,1
13,19,3,0.00245282278017969,1
13,20,3,0.00245289524670685,1
14,12,3,0.00145019399848993,1
14,13,2,0.00135819982010741,1
14,14,2,0.00134056021712364,1
14,15,2,0.00133705478877303,1
14,16,2,0.00134237881541302,1
14,17,2,0.00134166647488349,1
14,18,2,0.0013387741433393,1
14,19,2,0.00133983815196918,1
14,20,2,0.00133966871134172,1
15,12,1,0.000719998030792615,0
15,13,1,0.000662173591144661,0
15,14,1,0.0005821615582723,0
15,15,1,0.000546283501660806,0
15,16,1,0.000549735696758775,0
15,17,1,0.00054960529603232,0
15,18,1,0.000550794360101517,0
15,19,1,0.000550666604507227,0
15,20,1,0.000550382527752979,0
16,12,1,0.000375894755430721,0
16,13,0,0.000191519977819197,0
16,14,0,0.000189067072397529,0
16,15,0,0.000220081424260765,0
16,16,0,0.000194841414127729,0
16,17,0,0.000195714912732279,0
16,18,0,0.000196279324772961,0
16,19,0,0.000195691233544465,0
16,20,0,0.000195366608360054,0
17,12,0,0.000376528122725415,0
17,13,0,0.00020699499769497,0
17,14,0,0.000219728624721669,0
17,15,0,0.000167814744102992,0
17,16,0,0.000195474694295527,0
17,17,0,0.000176440107738722,0
17,18,0,0.000177431068023248,0
17,19,0,0.000177718851051923,0
17,20,0,0.000177629722987908,0
18,12,0,0.00017733736434506,0
18,13,0,0.000225101555168502,0
18,14,0,6.38606632437453e-05,0
18,15,0,9.96417444529634e-05,0
18,16,0,8.03244436895462e-05,0
18,17,0,8.48430265576085e-05,0
18,18,0,8.07554919700197e-05,0
18,19,0,7.94694082507992e-05,0
18,20,0,7.94978110335293e-05,0
19,12,0,0.000129538913083737,0
19,13,0,0.000146363360674936,0
19,14,0,5.30836725590373e-05,0
19,15,0,6.04496196899289e-05,0
19,16,0,2.39987942140351e-05,0
19,17,0,2.11231010758749e-05,0
19,18,0,1.87258456209496e-05,0
19,19,0,1.89479393306685e-05,0
19,20,0,1.89401367378927e-05,0
20,12,0,0.000116448373537065,0
20,13,0,0.000205170746025907,0
20,14,0,5.20501581814447e-05,0
20,15,0,4.76827792458421e-05,0
20,16,0,2.10043037355423e-05,0
20,17,0,2.96827334181221e-05,0
20,18,0,2.60921869005372e-05,0
20,19,0,2.83713262337391e-05,0
20,20,0,2.8848489771242e-05,0
