CORDIC_FWL,BACKSUB_FWL,RMSE_Indiv_Fail,RMSE_Total_Val,RMSE_Total_FailFlag
12,12,72,0.0032353095825519,1
12,13,71,0.00324593782539508,1
12,14,71,0.00324565052868161,1
12,15,71,0.00324498098118261,1
12,16,71,0.00324493199738176,1
12,17,71,0.00324503260758211,1
12,18,71,0.00324500099320873,1
12,19,71,0.00324493511318849,1
12,20,71,0.00324499690788076,1
13,12,39,0.00164629246540434,1
13,13,39,0.00164814493528961,1
13,14,38,0.00164328396671025,1
13,15,38,0.00164338235727208,1
13,16,38,0.00164372411206107,1
13,17,39,0.00164411310292529,1
13,18,39,0.00164376400649766,1
13,19,39,0.0016438101140811,1
13,20,39,0.00164370934757691,1
14,12,19,0.000882704100616982,0
14,13,21,0.000839617762377172,0
14,14,18,0.000806461098141121,0
14,15,18,0.000806759339121961,0
14,16,18,0.000808298876637901,0
14,17,18,0.000807357087109434,0
14,18,18,0.000807022606045663,0
14,19,18,0.000806988928859647,0
14,20,18,0.000807063315322397,0
15,12,10,0.000501213128214449,0
15,13,7,0.000390192824424156,0
15,14,8,0.000360434197408104,0
15,15,6,0.000365565365741778,0
15,16,7,0.000365121728204207,0
15,17,7,0.000365362214225856,0
15,18,7,0.000364719327396509,0
15,19,7,0.00036465526167282,0
15,20,7,0.000364769200825318,0
16,12,10,0.000355483283992339,0
16,13,3,0.00023337630503634,0
16,14,4,0.000222706768018707,0
16,15,5,0.000205623508634635,0
16,16,3,0.000203905677456678,0
16,17,2,0.00020371929758265,0
16,18,3,0.00020369174696739,0
16,19,2,0.000203742474703117,0
16,20,2,0.000203688527782265,0
17,12,4,0.000254889860869923,0
17,13,0,0.000159632439098294,0
17,14,0,0.000135053439465971,0
17,15,0,0.00013041494465184,0
17,16,0,0.000122601801732277,0
17,17,0,0.000123058047149012,0
17,18,0,0.000122758851318542,0
17,19,0,0.00012278298823008,0
17,20,0,0.000122909953059291,0
18,12,4,0.00026354513079244,0
18,13,3,0.00018602442190346,0
18,14,1,0.000125465956339971,0
18,15,0,0.000106751194954204,0
18,16,0,0.000107750049605203,0
18,17,0,0.00011046374579269,0
18,18,0,0.000107333331763726,0
18,19,0,0.000107381114220031,0
18,20,0,0.000107383081049874,0
19,12,5,0.000278414876422042,0
19,13,5,0.000221257448807969,0
19,14,1,0.000126857004797631,0
19,15,2,0.000135350588684336,0
19,16,1,0.000118101669091996,0
19,17,1,0.000121767549444846,0
19,18,1,0.000121182530336132,0
19,19,1,0.000120405385494692,0
19,20,1,0.000120427612368837,0
20,12,5,0.000285313345283557,0
20,13,3,0.000188053970252449,0
20,14,0,0.000114527606059179,0
20,15,1,0.000116186677669473,0
20,16,0,0.000113698848620062,0
20,17,0,0.000108702894828722,0
20,18,0,0.000109799909636713,0
20,19,0,0.000109264287005875,0
20,20,0,0.000109059688521266,0
