CORDIC_FWL,BACKSUB_FWL,RMSE_Indiv_Fail,RMSE_Total_Val,RMSE_Total_FailFlag
12,12,2,0.00369825591183886,1
12,13,2,0.00370377276372016,1
12,14,2,0.00371331624227371,1
12,15,2,0.0037092350667192,1
12,16,2,0.00369223923546006,1
12,17,2,0.00370535056966381,1
12,18,2,0.00370376456804206,1
13,12,2,0.00156787403140519,1
13,13,2,0.0013892235130763,1
13,14,2,0.00140954309122957,1
13,15,2,0.00142166478033101,1
13,16,2,0.00141426795599027,1
13,17,2,0.00141342983809221,1
13,18,2,0.00141466818627642,1
14,12,1,0.000679856369041931,0
14,13,1,0.000607016907330672,0
14,14,1,0.000644347434844655,0
14,15,1,0.00064315658745549,0
14,16,1,0.000646492745441437,0
14,17,1,0.000647765728126436,0
14,18,1,0.000647796643729879,0
15,12,1,0.000482398273908719,0
15,13,0,0.000347601501225517,0
15,14,0,0.000346527821679195,0
15,15,0,0.000327818663457282,0
15,16,0,0.00033487168837818,0
15,17,0,0.000333592085107035,0
15,18,0,0.000334646522621953,0
16,12,0,0.000313238586070887,0
16,13,0,0.000146190373641004,0
16,14,0,0.000149188614230705,0
16,15,0,0.000119304406150868,0
16,16,0,0.000128919139625783,0
16,17,0,0.00012431317716625,0
16,18,0,0.000127573112098,0
17,12,0,0.000146984684813691,0
17,13,0,0.000151679162118112,0
17,14,0,0.000114317214900756,0
17,15,0,8.6201707219286e-05,0
17,16,0,7.28144078360148e-05,0
17,17,0,7.15893928683209e-05,0
17,18,0,6.99513939918272e-05,0
18,12,0,0.000145557793235936,0
18,13,0,0.000113583767145916,0
18,14,0,6.52910571425376e-05,0
18,15,0,4.6132500803986e-05,0
18,16,0,3.43262253402545e-05,0
18,17,0,3.56284751974379e-05,0
18,18,0,3.33547746769824e-05,0
